JJOO,AÑO,DEPORTE,DISCIPLINA,CATEGORÍA,N° MUJERES,N° HOMBRES ,MEDALLA
Seúl,1988,Ciclismo,Ciclismo en Ruta,Femenino y Masculino,50,182,Sí
Seúl,1988,Deportes Acuáticos,Natación,Femenino y Masculino,275,358,Sí
Seúl,1988,Deportes Acuáticos,Natación Sincronizada,Femenino,46,0,Sí
Seúl,1988,Deportes Acuáticos,Piragüismo Esprint,Femenino y Masculino,55,220,Sí
Seúl,1988,Deportes Acuáticos,Remo,Femenino y Masculino,170,423,Sí
Seúl,1988,Deportes Acuáticos,Saltos (Clavados),Femenino y Masculino,40,41,Sí
Seúl,1988,Deportes Acuáticos,Vela,Femenino y Masculino,45,330,Sí
Seúl,1988,Deportes Acuáticos,Waterpolo,Masculino,0,156,Sí
Seúl,1988,Deportes Ecuestres,Adiestramiento,Mixto,26,26,Sí
Seúl,1988,Deportes Ecuestres,Concurso Completo,Mixto,25,25,Sí
Seúl,1988,Deportes Ecuestres,Salto,Mixto,37,37,Sí
Seúl,1988,Esgrima,Esgrima,Femenino y Masculino,45,190,Sí
Seúl,1988,Fútbol,Fútbol,Masculino,0,256,Sí
Seúl,1988,Gimnasia,Gimnasia Artística,Femenino y Masculino,90,90,Sí
Seúl,1988,Gimnasia,Gimnasia Rítmica,Femenino,39,0,Sí
Seúl,1988,Halterofilia,Halterofilia,Masculino,0,226,Sí
Seúl,1988,Hockey sobre Césped,Hockey sobre Césped,Femenino y Masculino,128,192,Sí
Seúl,1988,Judo,Judo,Masculino,0,242,Sí
Seúl,1988,Lucha,Lucha Greco-romana,Masculino,0,210,Sí
Seúl,1988,Lucha,Lucha Libre,Masculino,0,220,Sí
Seúl,1988,Pentatlón Moderno,Pentatlón Moderno,Masculino,0,65,Sí
Seúl,1988,Tenis,Tenis,Femenino y Masculino,48,80,Sí
Seúl,1988,Tenis de Mesa,Tenis de Mesa,Femenino y Masculino,48,81,Sí
Seúl,1988,Tiro,Tiro Deportivo,Femenino y Masculino,88,308,Sí
Seúl,1988,Tiro con Arco,Tiro con Arco,Femenino y Masculino,62,84,Sí
Seúl,1988,Voleibol,Voleibol de Sala,Femenino y Masculino,96,144,Sí
