deporte,disciplina / evento,atletas_mujeres,atletas_hombres,total_atletas,% mujeres,% hombres,diferencia del 50/50
Gimnasia artística,Competencia total,204,111,315,"64,80%","35,20%","14,8"
Equitación,Competencia total,75,132,207,"36,20%","63,80%","-13,8"
Natación,Todas las pruebas,433,433,866,"50,00%","50,00%",0
Atletismo,Todas las pruebas,905,905,1.810,"50,00%","50,00%",0
Boxeo,Todas las categorías,124,124,248,"50,00%","50,00%",0
Fútbol,Torneo olímpico,216,288,504,"42,90%","57,10%","-7,1"
Rugby 7,Torneo olímpico,168,168,336,"50,00%","50,00%",0
Halterofilia,Todas las categorías,120,120,240,"50,00%","50,00%",0
